location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
"Off Herbert Macaulay Way, Yaba, Lagos. Yaba Lagos",2,2,,,Flat Apartment FOR Rent,4500000
Sabo Alagomeji Yaba Lagos,3,3,,,Flat Apartment FOR Rent,4500000
"By Herbert Macaulay Way, Yaba, Lagos Yaba Lagos",,,,,Commercial Property FOR Rent,12000000
Sabo Alagomeji Yaba Lagos,1,1,,,Flat Apartment FOR Rent,2000000
"Sabo Alagomeji, Alagomeji Yaba Lagos",,,,,House FOR Rent,42000000
Sabo Alagomeji Alagomeji Yaba Lagos,2,2,,,Flat Apartment FOR Rent,2500000
Bariga Lagos,2,2,,,House FOR Rent,2500000
Precisely Sawmill New Garage Gbagada Lagos,3,2,,,House FOR Rent,4000000
Allen Avenue Ikeja Lagos,3,3,,,House FOR Rent,15000000
Charlie Boy Gbagada Phase 1 Gbagada Lagos,2,3,,,House FOR Rent,4500000
Magodo Gra Phase 1 Ojodu Lagos,2,3,,,House FOR Rent,3500000
Allen Avenue Ikeja Lagos,4,4,,,House FOR Rent,16000000
Millenuim Ups Gbagada Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Gbagada Phase 1 Gbagada Lagos,2,2,,,House FOR Rent,5000000
Mende Maryland Lagos,3,3,,,House FOR Rent,5000000
Millenuim Ups Gbagada Lagos,3,3,,,House FOR Rent,5000000
Ifako Gbagada Gbagada Lagos,2,2,,,House FOR Rent,3000000
Allen Avenue Ikeja Lagos,1,1,,,Flat Apartment FOR Rent,1200000
Magodo Gra Phase 1 Ojodu Lagos,3,3,,,House FOR Rent,5000000
Omole Phase 2 Ojodu Lagos,5,5,,,House FOR Rent,25000000
Magodo Gra Phase 2 Kosofe Ikosi Lagos,3,3,,,House FOR Rent,5000000
Close To Charlie Boy Axis Gbagada Phase 1 Gbagada Lagos,1,2,,,Flat Apartment FOR Rent,2500000
Atunranse Estate Gbagada Lagos,2,2,,,House FOR Rent,4500000
Anthony Village Maryland Lagos,4,4,,,House FOR Rent,13000000
Community Road Adekunle Yaba Lagos,3,2,,,House FOR Rent,3500000
Akoka Yaba Lagos,2,2,,,House FOR Rent,3500000
Lsdpc Maryland Estate Maryland Lagos,5,5,,,House FOR Rent,15000000
Agidingbi Ikeja Lagos,2,2,,,House FOR Rent,2500000
Adeniyi Jones Ikeja Lagos,5,5,,,House FOR Rent,25000000
Magodo Gra Phase 1 Ojodu Lagos,2,2,,,House FOR Rent,4000000
Millenuim Ups Gbagada Lagos,1,1,,,Flat Apartment FOR Rent,2000000
Ikorodu Road(ilupeju) Ilupeju Lagos,3,2,,,House FOR Rent,4000000
Ifako Gbagada Gbagada Lagos,1,1,,,Flat Apartment FOR Rent,1000000
Magodo Gra Phase 2 Kosofe Ikosi Lagos,3,3,,,House FOR Rent,10000000
Allen Avenue Ikeja Lagos,4,3,,,House FOR Rent,5000000
Anthony Village Maryland Lagos,3,2,,,House FOR Rent,4500000
Gbagada Phase 1 Gbagada Lagos,2,2,,,House FOR Rent,2500000
Akoka Yaba Lagos,1,1,,,Flat Apartment FOR Rent,1400000
"Magodo Phase 2, Magodo Gra Phase 1 Ojodu Lagos",4,5,,,House FOR SALE,300000000
Governors Road Iyana Ipaja Ipaja Lagos,2,3,,,House FOR Rent,1500000
New Oko Oba Abule Egba Lagos New Oko Oba Abule Egba Lagos,2,3,,,Flat Apartment FOR Rent,5000000
Liasu Off Governors Road Ikotun Egbe Egbe Idimu Lagos,2,3,,,Flat Apartment FOR Rent,2500000
Ipaja Road Lagos Ipaja Ipaja Lagos,2,2,,,Flat Apartment FOR Rent,1200000
Giwa Aboru Iyana Ipaja Ipaja Lagos,1,1,,,Flat Apartment FOR Rent,700000
An Estate In Aboru Iyana Ipaja Road Lagos Iyana Ipaja Ipaja Lagos,1,2,,,House FOR Rent,1000000
Aboru Iyana Ipaja Ipaja Lagos,2,3,,,House FOR Rent,1600000
Aboru Iyana Ipaja Road Lagos Iyana Ipaja Ipaja Lagos,2,1,,,House FOR Rent,900000
Aboru Iyana Ipaja Road Lagos State Iyana Ipaja Ipaja Lagos,2,2,,,House FOR Rent,1500000
Anthony Village Maryland Lagos,3,3,,,Flat Apartment FOR Rent,8000000
Ilupeju Estate Coker Road Ilupeju Lagos,4,4,,,House FOR Rent,15000000
Olusoji Idowu Ikorodu Road(ilupeju) Ilupeju Lagos,4,3,,,Commercial Property FOR Rent,8000000
Arowojobe Mende Maryland Lagos,4,4,,,House FOR Rent,10000000
Obanikoro Shomolu Lagos,2,2,,,Flat Apartment FOR Rent,2500000
Obanikoro Shomolu Lagos,1,1,,,Flat Apartment FOR Rent,1200000
Shomolu Bariga Lagos,1,1,,,Flat Apartment FOR Rent,1700000
Randle Avenue Surulere Lagos,3,2,,,House FOR Rent,15000000
Anthony Village Anthony Village Maryland Lagos,1,2,,,Flat Apartment FOR Rent,4000000
Off Coker Coker Road Ilupeju Lagos,1,1,,,Flat Apartment FOR Rent,1500000
Off Coker Coker Road Ilupeju Lagos,6,5,,,House FOR Rent,15000000
Sura Mogaji Coker Road Ilupeju Lagos,4,4,,,House FOR Rent,15000000
By Indian School Coker Road Ilupeju Lagos,3,3,,,House FOR Rent,10500000
Off Emmauel Keshi Magodo Gra Phase 2 Kosofe Ikosi Lagos,4,5,,,House FOR Rent,20000000
Magodo Ph2 Kosofe Ikosi Lagos,4,5,,,House FOR Rent,15000000
Gra Ikeja Lagos,,,,,Commercial Property FOR Rent,300000
Omole Phase 2 Ojodu Lagos,5,,,,House FOR Rent,25000000
Magodo Gra Phase 2 Kosofe/ikosi Lagos,3,3,,,Flat / Apartment FOR SHORTLET,140000
Ikeja Gra Ikeja Lagos,,,,,House FOR Rent,35000000
Off Allen Avenue Ikeja Lagos,,,,200,Commercial Property FOR Rent,110000
Ogba Ogba Lagos,,,,,Commercial Property FOR Rent,50000000
Yaba Lagos,2,,,,Flat Apartment FOR Rent,4500000
Ilupeju Lagos,4,,,,Flat Apartment FOR Rent,4000000
Shonibare Estate Ikeja Lagos,4,,,,House FOR Rent,30000000
Allen Avenue Ikeja Lagos,,,,300,Commercial Property FOR Rent,150000
Ikeja Gra Ikeja Lagos,3,3,,,House FOR Rent,15000000
Off Allen Avenue Allen Avenue Ikeja Lagos,,,,,Commercial Property FOR Rent,17000000
Allen Avenue Ikeja Lagos,,,,,Commercial Property FOR Rent,16000000
Aguda Surulere Lagos,2,3,,,Flat Apartment FOR Rent,3500000
Ikeja Gra Ikeja Lagos,4,5,,,House FOR Rent,60000000
Shonibare Estate Maryland Lagos,3,4,,,Flat Apartment FOR Rent,15000000
Millenuim Ups Gbagada Lagos,4,5,,,House FOR Rent,15000000
Gbagada Phase 1 Gbagada Lagos,4,5,,,House FOR Rent,20000000
"Pedro Axis, Gbagada Phase 1 Gbagada Lagos",4,5,,,House FOR Rent,7000000
"Apata Str, Shomolu Lagos",2,3,,,Flat Apartment FOR Rent,4500000
Oke Ira Ogba Lagos,,,,,Flat Apartment FOR Rent,800000
Magodo Phase 1 Ojodu Lagos,2,,,,Flat Apartment FOR Rent,3000000
Oke Ira Ogba Lagos,,,,,Flat Apartment FOR Rent,1000000
Ajayi Road Ogba Lagos,,,,,Flat Apartment FOR Rent,2000000
Unilag Estate Extension Magodo Phase 1 Ojodu Lagos,,,,,Flat Apartment FOR Rent,1000000
