location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira,source
Ikate Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,6500000/year,propertypro
Lekki Phase 1 Lekki Lagos,3.0,3.0,,,Flat Apartment FOR Rent,13000000/year,propertypro
Lekki Phase 1 Lekki Lagos,4.0,4.0,,,House FOR Rent,20000000/year,propertypro
Lekki Phase 1 Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,22000000/year,propertypro
Ikate Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,9000000/year,propertypro
Ikate Lekki Lagos,4.0,4.0,,,House FOR Rent,15000000/year,propertypro
Ikate Lekki Lagos,2.0,,,,Flat / Apartment FOR SALE,220000000,propertypro
Orchid Lekki Lagos,4.0,4.0,,,House FOR Rent,7000000/year,propertypro
Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,8000000,propertypro
Ikota Lekki Lagos,4.0,4.0,,,House FOR Rent,12000000/year,propertypro
Ikate Lekki Lagos,2.0,2.0,,,Flat Apartment FOR Rent,12000000/year,propertypro
Ikate Lekki Lagos,5.0,5.0,,,House FOR Rent,18000000/year,propertypro
Victoria Island Lagos,2.0,2.0,,,Flat Apartment FOR Rent,12000000/year,propertypro
Banana Island Ikoyi Lagos,3.0,3.0,,,House FOR Rent,$,propertypro
Orchid Lekki Lagos,4.0,4.0,,,House FOR Rent,10000000/year,propertypro
Lekki Phase 1 Lekki Lagos,3.0,3.0,,,Flat Apartment FOR Rent,25000000/year,propertypro
Ikate Lekki Lagos,6.0,6.0,,,House FOR Rent,15000000/year,propertypro
Chevron Lekki Lagos,4.0,4.0,,,House FOR Rent,10000000/year,propertypro
Old Ikoyi Ikoyi Lagos,4.0,4.0,,,House FOR Rent,$,propertypro
Ikate Lekki Lagos,4.0,4.0,,,House FOR Rent,15000000/year,propertypro
Orchid Lekki Lagos,4.0,4.0,,,House FOR Rent,8500000/year,propertypro
Lekki Phase 1 Lekki Lagos,3.0,3.0,,,House FOR Rent,13000000/year,propertypro
Ikate Lekki Lagos,2.0,2.0,,,House FOR Rent,10000000/year,propertypro
Chevron Lekki Lagos,1.0,1.0,,,Flat Apartment FOR Rent,3500000/year,propertypro
Ikota Lekki Lagos,4.0,4.0,,,House FOR Rent,8000000/year,propertypro
"Puposola Road, New Oko Oba Abule Egba Lagos",,,,,Land FOR Rent,7000000/year,propertypro
Festac Amuwo Odofin Lagos,,,,,House FOR Rent,20000000/year,propertypro
"1 Min Drive From Ajah Bridge, Ado Ajah Lagos",5.0,6.0,,,House FOR SALE,250000000,propertypro
Orchid Lekki Lagos,,,,,Flat Apartment FOR Rent,2800000/year,propertypro
Ajah Lagos,4.0,,,,House FOR Rent,9000000/year,propertypro
Lekki Phase 1 Lekki Lagos,3.0,,,,Flat Apartment FOR Rent,23000000/year,propertypro
Lekki Phase 1 Lekki Lagos,5.0,,,,Flat Apartment FOR Rent,25000000/year,propertypro
Vi Victoria Island Lagos,,,,,Land FOR Rent,70000000,propertypro
Oniru Estate Victoria Island Lagos,3.0,,,,House FOR Rent,25000000/year,propertypro
Banana Island Estate Ikoyi Lagos,4.0,3.0,,,House FOR Rent,45000000/year,propertypro
Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,40000000/year,propertypro
Banana Island Estate Ikoyi Lagos,3.0,3.0,,,House FOR Rent,60000000/year,propertypro
"Banana Island Estate, Ikoyi Lagos",4.0,3.0,,,House FOR Rent,45000000/year,propertypro
Victoria Island Lagos,4.0,3.0,,,House FOR Rent,15000000/year,propertypro
Old Ikoyi Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,40000000/year,propertypro
Banana Island Estate Banana Island Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,49900000/year,propertypro
Old Ikoyi Old Ikoyi Ikoyi Lagos,2.0,2.0,,,Flat Apartment FOR Rent,25000000/year,propertypro
Banana Island Estate Banana Island Ikoyi Lagos,4.0,4.0,,,House FOR Rent,80000000/year,propertypro
"Banana Island Estate, Banana Island Ikoyi Lagos",4.0,4.0,,,House FOR Rent,54000000/year,propertypro
Parkview Estate Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,20000000/year,propertypro
Old Ikoyi Old Ikoyi Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
"Lekki Aviation Town, Granville, Majestic Bay, & The Parliament, Ibeju Lekki Lagos",3.0,3.0,,,House FOR SALE,1812639/month,propertypro
Old Ikoyi Ikoyi Lagos,4.0,4.0,,,House FOR Rent,45000000/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,50000000/year,propertypro
"Banana Island Estate, Ikoyi Lagos",4.0,4.0,,,Flat Apartment FOR Rent,75000000/year,propertypro
Victoria Island Lagos,3.0,3.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,34900000/year,propertypro
Old Ikoyi Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,30000000/year,propertypro
Old Ikoyi Old Ikoyi Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,49999999/year,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,House FOR Rent,39990000/year,propertypro
Old Ikoyi Old Ikoyi Ikoyi Lagos,5.0,5.0,,,House FOR Rent,179999999/year,propertypro
Banana Island Estate Banana Island Ikoyi Lagos,3.0,2.0,,,Flat Apartment FOR Rent,49500000/year,propertypro
Ikoyi Parkview Estate Ikoyi Lagos,4.0,4.0,,,House FOR Rent,29999999/year,propertypro
Parkview Estate Ikoyi Lagos,4.0,4.0,,,House FOR Rent,17000000,propertypro
Ahmadu Bello Way Victoria Island Lagos,3.0,3.0,,,House FOR Rent,15000000/year,propertypro
Ikoyi S.w Ikoyi Lagos,4.0,4.0,,,House FOR Rent,30000000,propertypro
Old Ikoyi Ikoyi Lagos,3.0,3.0,,,Flat Apartment FOR Rent,39990000/year,propertypro
"Banana Island Estate, Ikoyi Lagos",5.0,5.0,,,House FOR Rent,90000000/year,propertypro
Old Ikoyi Ikoyi Lagos,4.0,4.0,,,Flat Apartment FOR Rent,40000000/year,propertypro
