location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
Lekki County Homes Ikota Lekki Lagos,5,,,,5 BEDROOM DETACHED DUPLEX For Sale,
Off Awolowo Road Old Ikoyi Ikoyi Lagos,3,,,,3 BEDROOM FLAT & APARTMENT,
Vi Victoria Island Lagos,4,4,5,,4 BEDROOM OFFICE,
Off Bourdillon Bourdillon Ikoyi Lagos,3,,,,3 BEDROOM BLOCK OF FLATS,
Old Ikoyi Old Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM DETACHED DUPLEX,
Banana Island Estate Banana Island Ikoyi Lagos,3,3,4,,3 BEDROOM TERRACED DUPLEX,
Ikoyi Lagos,4,4,5,,4 BEDROOM HOUSE,
Banana Island Estate Banana Island Ikoyi Lagos,4,3,4,,4 BEDROOM SEMI DETACHED DUPLEX,
Lekki Right /oniru Lekki Lagos,4,4,4,,4 BEDROOM DUPLEX,
Banana Island Banana Island Ikoyi Lagos,4,4,5,,4 BEDROOM BLOCK OF FLATS,
Ikate Lekki Lekki Phase 1 Lekki Lagos,4,4,5,,4 BEDROOM TERRACE,
Ikoyi Lagos Ikoyi Ikoyi Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Lekki Phase 1 Lagos,10,10,10,,10 BEDROOM BLOCK OF FLATS,
Lekki Right Lekki Phase 1 Lekki Lagos,3,3,4,,3 BEDROOM TERRACE,
Victoria Island Victoria Island Victoria Island Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Victoria Island Lagos Victoria Island Victoria Island Lagos,4,4,5,,4 BEDROOM BLOCK OF FLATS,
"Golden Palm Estate, Lekki Phase 2 Lekki Phase 2 Lekki Lagos",4,4,5,,4 BEDROOM TERRACED DUPLEX,
Ikoyi Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM TERRACE,
Chevron Lekki Chevron Drive Lekki Lagos,4,4,5,,4 BEDROOM DUPLEX,
Royal Garden Estate Ajiwe Ajah Lagos,3,3,4,,3 BEDROOM BLOCK OF FLATS,
Abacha Estate Ikoyi Ikoyi Ikoyi Lagos,4,4,5,,4 BEDROOM PENTHOUSE,
Ikota Lekki Ikota Lekki Lagos,4,4,5,,4 BEDROOM TERRACE,
