location,bedrooms,bathrooms,toilets,area_sqm,type,price_naira
3 Bedroom Duplex For Rent Osapa London Lekki Lagos,3,3,,,House FOR Rent,5000000/year
Lekki Right Lekki Phase 1 Lekki Lagos,4,4,,,House FOR Rent,30000000/year
4 Bedroom Duplex For Rent Ikota Lekki Lagos,4,4,,,House FOR Rent,11000000/year
3 Bedroom Terrace For Rent Ikota Lekki Lagos,3,3,,,House FOR Rent,8000000/year
Lekki Phase 1 Lekki Lagos,3,3,,,Flat Apartment FOR Rent,25000000/year
5 Bedroom Detached Duplex For Rent Lekki Phase 1 Lekki Lagos,5,5,,,House FOR Rent,60000000
Parkview Estate Ikoyi Lagos,3,3,,,Flat / Apartment FOR SHORTLET,200000/day
2 Bedroom Apartment For Rent Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,7000000
2 Bedroom Apartment For Rent Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,10000000/year
Ologolo Lekki Lagos,,1,,,Flat Apartment FOR Rent,1500000/year
Ikate Lekki Lagos,3,3,,,House FOR Rent,165000000/year
Ologolo Lekki Lagos,,1,,,Flat Apartment FOR Rent,5000000
Osapa London Lekki Lagos,,1,,,Flat Apartment FOR Rent,2600000/year
Lekki Phase 1 Lekki Lagos,1,1,,,Flat Apartment FOR Rent,3750000/year
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,4500000/year
Chevron Lekki Lagos,,1,,,Flat Apartment FOR Rent,1800000/year
Awolowo Road Ikoyi Lagos,,,,2588,Commercial Property FOR Rent,120000000/year
Orchid Lekki Lagos,5,5,,,House FOR Rent,17000000/year
Off Gerald Road Ikoyi S.w Ikoyi Lagos,4,4,,,House FOR RENT,40000000/year
Lekki Phase 1 Lekki Lagos,3,3,,,Flat Apartment FOR Rent,16000000/year
Banana Island Ikoyi Lagos,5,5,,,House FOR Rent,150000000/year
Ikoyi Lagos,4,4,,,House FOR Rent,35000000/year
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,6500000/year
Lekki Phase 1 Lekki Lagos,3,3,,,Flat Apartment FOR Rent,13000000/year
Lekki Phase 1 Lekki Lagos,4,4,,,House FOR Rent,20000000/year
Lekki Phase 1 Lekki Lagos,2,2,,,Flat Apartment FOR Rent,22000000/year
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,9000000/year
Ikate Lekki Lagos,4,4,,,House FOR Rent,15000000/year
Ikate Lekki Lagos,2,,,,Flat / Apartment FOR SALE,220000000
Orchid Lekki Lagos,4,4,,,House FOR Rent,7000000/year
Lekki Lagos,1,1,,,Flat Apartment FOR Rent,8000000
Ikota Lekki Lagos,4,4,,,House FOR Rent,12000000/year
Ikate Lekki Lagos,2,2,,,Flat Apartment FOR Rent,12000000/year
Ikate Lekki Lagos,5,5,,,House FOR Rent,18000000/year
Victoria Island Lagos,2,2,,,Flat Apartment FOR Rent,12000000/year
Banana Island Ikoyi Lagos,3,3,,,House FOR Rent,$
Orchid Lekki Lagos,4,4,,,House FOR Rent,10000000/year
Lekki Phase 1 Lekki Lagos,3,3,,,Flat Apartment FOR Rent,25000000/year
Ikate Lekki Lagos,6,6,,,House FOR Rent,15000000/year
Chevron Lekki Lagos,4,4,,,House FOR Rent,10000000/year
Wuye Abuja,6,6,,,House FOR RENT,25000000/year
Old Ikoyi Ikoyi Lagos,4,4,,,House FOR Rent,$
Ikate Lekki Lagos,4,4,,,House FOR Rent,15000000/year
Orchid Lekki Lagos,4,4,,,House FOR Rent,8500000/year
Lekki Phase 1 Lekki Lagos,3,3,,,House FOR Rent,13000000/year
Ikate Lekki Lagos,2,2,,,House FOR Rent,10000000/year
Chevron Lekki Lagos,1,1,,,Flat Apartment FOR Rent,3500000/year
Ikota Lekki Lagos,4,4,,,House FOR Rent,8000000/year
"Puposola Road, New Oko Oba Abule Egba Lagos",,,,,Land FOR Rent,7000000/year
Festac Amuwo Odofin Lagos,,,,,House FOR Rent,20000000/year
"1 Min Drive From Ajah Bridge, Ado Ajah Lagos",5,6,,,House FOR SALE,250000000
Orchid Lekki Lagos,,,,,Flat Apartment FOR Rent,2800000/year
Ajah Lagos,4,,,,House FOR Rent,9000000/year
Lekki Phase 1 Lekki Lagos,3,,,,Flat Apartment FOR Rent,23000000/year
Lekki Phase 1 Lekki Lagos,5,,,,Flat Apartment FOR Rent,25000000/year
Vi Victoria Island Lagos,,,,,Land FOR Rent,70000000
Oniru Estate Victoria Island Lagos,3,,,,House FOR Rent,25000000/year
Main Mabushi Abuja,4,4,,,House FOR Rent,15000000/year
Close To Nnpc Guzape Abuja,,,,,Commercial Property FOR Rent,200000000/year
Banana Island Estate Ikoyi Lagos,4,3,,,House FOR Rent,45000000/year
Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,40000000/year
Banana Island Estate Ikoyi Lagos,3,3,,,House FOR Rent,60000000/year
Wuye Abuja,6,6,,,House FOR RENT,25000000/year
"Banana Island Estate, Ikoyi Lagos",4,3,,,House FOR Rent,45000000/year
Victoria Island Lagos,4,3,,,House FOR Rent,15000000/year
Old Ikoyi Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,40000000/year
Banana Island Estate Banana Island Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,49900000/year
Old Ikoyi Old Ikoyi Ikoyi Lagos,2,2,,,Flat Apartment FOR Rent,25000000/year
Banana Island Estate Banana Island Ikoyi Lagos,4,4,,,House FOR Rent,80000000/year
"Banana Island Estate, Banana Island Ikoyi Lagos",4,4,,,House FOR Rent,54000000/year
Parkview Estate Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,20000000/year
Old Ikoyi Old Ikoyi Ikoyi Lagos,4,4,,,Flat Apartment FOR Rent,30000000/year
"Lekki Aviation Town, Granville, Majestic Bay, & The Parliament, Ibeju Lekki Lagos",3,3,,,House FOR SALE,1812639/month
Old Ikoyi Ikoyi Lagos,4,4,,,House FOR Rent,45000000/year
Old Ikoyi Ikoyi Lagos,3,3,,,Flat Apartment FOR Rent,50000000/year
"Banana Island Estate, Ikoyi Lagos",4,4,,,Flat Apartment FOR Rent,75000000/year
